Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00290,CC(C)=CCC/C(C)=C/CO,GLZPCOQZEFWAFX-JXMROGBWSA-N,C10H18O,154.1358,0.6388888888888888,0.3365678852433827,Aedes aegypti,637566
REP_00291,CC(=O)CCC=C(C)C,UHEPJGULSIKKTP-UHFFFAOYSA-N,C8H14O,126.1045,0.16923076923076924,0.23784895784351653,Aedes aegypti,9862
REP_00292,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,C3H6O,58.0419,0.015151515151515152,0.20855275240335058,Aedes aegypti,180
REP_00293,CC(C)c1ccc(C[C@H](O)C(C)C)cc1,GBFRXPFQXAHYBY-AWEZNQCLSA-N,C14H22O,206.1671,0.99999999,0.3913036161853316,Aedes aegypti,62605933
REP_00294,CC(C)CC(=O)CC(C)C,PTTPXKJBFFKCEK-UHFFFAOYSA-N,C9H18O,142.1358,0.6363636363636364,0.2294753497182197,Aedes aegypti,7958
REP_00295,CC(C)C[C@H](O)c1ccccc1,KWXSTAUVUZAMGW-NSHDSACASA-N,C11H16O,164.1201,0.5036895503543032,0.3758556352332161,Aedes aegypti,12487504
REP_00296,Cc1ccc(C(C)C)c(O)c1,MGSRCZKZVOBKFT-UHFFFAOYSA-N,C10H14O,150.1045,0.6333333333333333,0.4740856774633316,Aedes aegypti,6989
REP_00297,Cc1ccc(C(C)C)cc1O,RECUKUPTGUEGMW-UHFFFAOYSA-N,C10H14O,150.1045,0.6333333333333333,0.3141191267087245,Aedes aegypti,10364
REP_00298,COc1cc(C(C)C)ccc1C,YVLHTQPPMZOCOW-UHFFFAOYSA-N,C11H16O,164.1201,0.22807017543859648,0.30537250600764854,Aedes aegypti,80790
REP_00299,CC(C)c1ccc(C=O)cc1,WTWBUQJHJGUZCY-UHFFFAOYSA-N,C10H12O,148.0888,0.22807017543859648,0.20537672373790164,Aedes aegypti,326
REP_00300,CC(C)c1cccc(O)c1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.0888,0.45714285714285713,0.4063551155776072,Aedes aegypti,12059
REP_00301,C[C@H](O)C=Cc1ccccc1,ZIJWGEHOVHJHKB-VIFPVBQESA-N,C10H12O,148.0888,0.25,0.370705139435419,Aedes aegypti,15172
REP_00302,CC(CC=O)CC(C)(C)C,WTPYRCJDOZVZON-UHFFFAOYSA-N,C9H18O,142.1358,0.7894736842105263,0.2750126914969607,Aedes aegypti,21574
REP_00303,C[C@H](CC=O)CC(C)(C)C,WTPYRCJDOZVZON-MRVPVSSYSA-N,C9H18O,142.1358,0.99999999,0.2750126914969607,Aedes aegypti,21574
REP_00304,CC1CCC(C(C)(C)O)C(C)C1,CPLTZFUXHDJQHV-UHFFFAOYSA-N,C11H22O,170.1671,0.6333333333333333,0.39035359685973314,Aedes aegypti,67477161
REP_00305,C=C[C@@](C)(O)CCC=C(C)C,CDOSHBSSFJOMGT-SNVBAGLBSA-N,C10H18O,154.1358,0.8846153846153846,0.16010232075904193,Aedes aegypti,6549
REP_00306,C=CC(C)(O)CCC=C(C)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,C10H18O,154.1358,0.8846153846153846,0.16010232075904193,Aedes aegypti,6549
REP_00307,CC(C)=CCC[C@H](C)CC=O,NEHNMFOYXAPHSD-JTQLQIEISA-N,C10H18O,154.1358,0.99999999,0.2925052339441969,Aedes aegypti,7794
REP_00308,CC(C)=CCC[C@H](C)CCO,QMVPMAAFGQKVCJ-JTQLQIEISA-N,C10H20O,156.1514,0.5531914893617021,0.30648523934776284,Aedes aegypti,8842
REP_00309,C=C[C@@](C)(O)CCC=C(C)CCC=C(C)C,FQTLCLSUCSAZDY-OAHLLOKOSA-N,C15H26O,222.1984,0.99999999,0.2103256076640116,Aedes aegypti,5284507
REP_00310,CC(=O)CCC=Cc1ccccc1,FQAGFMVFSPYMEW-UHFFFAOYSA-N,C12H14O,174.1045,0.99999999,0.3260117667936549,Aedes aegypti,53812467
REP_00311,CC(=O)CCCc1ccccc1,DGMYRPFYNFQCHM-UHFFFAOYSA-N,C11H14O,162.1045,0.6333333333333333,0.29351896948634576,Aedes aegypti,16701
REP_00312,CC(=O)CCc1ccccc1,AKGGYBADQZYZPD-UHFFFAOYSA-N,C10H12O,148.0888,0.45714285714285713,0.31247151278046587,Aedes aegypti,17355
REP_00313,CC12CCC(CC1)C(C)(C)O2,WEEGYLXZBRQIMU-UHFFFAOYSA-N,C10H18O,154.1358,0.0851063829787234,0.3103378126562924,Aedes aegypti,2758
REP_00314,CC=C[C@H](O)c1ccccc1,RMTAYCVXTPSMJQ-JTQLQIEISA-N,C10H12O,148.0888,0.45714285714285713,0.4939286977639105,Aedes aegypti,219674
REP_00315,CCC1c2ccccc2CCC1O,MZXUEGCVKCBYAR-UHFFFAOYSA-N,C12H16O,176.1201,0.99999999,0.510451607077244,Aedes aegypti,249488
REP_00316,CCCC(=O)CCC,HCFAJYNVAYBARA-UHFFFAOYSA-N,C7H14O,114.1045,0.22,0.1890956853279398,Aedes aegypti,31246
REP_00317,CCCCC(C=O)CC,LGYNIFWIKSEESD-UHFFFAOYSA-N,C8H16O,128.1201,0.6666666666666666,0.47059775553587163,Aedes aegypti,31241
REP_00318,CCCCC(=O)CCCC,WSGCRAOTEDLMFQ-UHFFFAOYSA-N,C9H18O,142.1358,0.99999999,0.18219598033629228,Aedes aegypti,10405
REP_00319,CCCCCC(=O)CC,RHLVCLIPMVJYKS-UHFFFAOYSA-N,C8H16O,128.1201,0.6388888888888888,0.2505568888610871,Aedes aegypti,246728
REP_00320,CCCCCC(=O)CCCCC,ZPQAKYPOZRXKFA-UHFFFAOYSA-N,C11H22O,170.1671,0.8235294117647058,0.17683106473007187,Aedes aegypti,13561
REP_00321,CCCCCCC(C)C(C)=O,BMLJPODSPMQJKF-UHFFFAOYSA-N,C10H20O,156.1514,0.5531914893617021,0.3058839970503896,Aedes aegypti,12634597
REP_00322,CCCCCCCC(C)=O,VKCYHJWLYTUGCC-UHFFFAOYSA-N,C9H18O,142.1358,0.8846153846153846,0.0035530600430298672,Aedes aegypti,13187
REP_00323,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,C8H16O,128.1201,0.4,0.003168165257384251,Aedes aegypti,454
REP_00324,CCCCCCCCC(C)=O,ZAJNGDIORYACQU-UHFFFAOYSA-N,C10H20O,156.1514,0.7037037037037037,0.0053393462655762945,Aedes aegypti,12741
REP_00325,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,C9H18O,142.1358,0.7894736842105263,0.0,Aedes aegypti,31289
REP_00326,CCCCCCCCCC(C)=O,KYWIYKKSMDLRDC-UHFFFAOYSA-N,C11H22O,170.1671,0.8846153846153846,0.013850892875673477,Aedes aegypti,8163
REP_00327,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,C10H20O,156.1514,0.6363636363636364,0.003166425799737005,Aedes aegypti,8175
REP_00328,CCCCCCCCCCCC=O,HFJRKMMYBMWEAD-UHFFFAOYSA-N,C12H24O,184.1827,0.99999999,0.02215650073925998,Aedes aegypti,8194
REP_00329,CCCCCc1ccco1,YVBAUDVGOFCUSG-UHFFFAOYSA-N,C9H14O,138.1045,0.0851063829787234,0.4088994661288619,Aedes aegypti,19602
REP_00330,CCCc1ccc(CCO)cc1,COXVVRAGVZOPFK-UHFFFAOYSA-N,C11H16O,164.1201,0.6333333333333333,0.19424762000344853,Aedes aegypti,2760476
REP_00331,C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,TWVJWDMOZJXUID-SDDRHHMPSA-N,C15H26O,222.1984,0.99999999,0.725619877856208,Aedes aegypti,227829
REP_00332,C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,WTOYNNBCKUYIKC-JMSVASOKSA-N,C15H22O,218.1671,0.99999999,0.6139615754957375,Aedes aegypti,1268142
REP_00333,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,SVURIXNDRWRAFU-OGMFBOKVSA-N,C15H26O,222.1984,0.99999999,0.603612813451223,Aedes aegypti,65575
REP_00334,CC1=CCC[C@@H]2[C@@](C)(CC=O)[C@H](C)CC[C@@]12C,MPWIIQYWQOBNKS-UGUYLWEFSA-N,C16H26O,234.1984,0.99999999,0.7766814637821187,Aedes aegypti,11107286
REP_00335,CC(C)=CCC[C@](C)(O)C1CC=C(C)CC1,RGZSQWQPBWRIAQ-LOACHALJSA-N,C15H26O,222.1984,0.99999999,0.48864627343731387,Aedes aegypti,252403102
REP_00336,Cc1ccccc1CCO,RUGISKODRCWQNE-UHFFFAOYSA-N,C9H12O,136.0888,0.45714285714285713,0.3151870923446713,Aedes aegypti,88267
REP_00337,Cc1ccc(C)c2c1CCCC2=O,ZSMGKPHICFZGQU-UHFFFAOYSA-N,C12H14O,174.1045,0.99999999,0.481481831503487,Aedes aegypti,99334
REP_00338,Cc1cccc(CCO)c1,KWHVBVJDKLSOTB-UHFFFAOYSA-N,C9H12O,136.0888,0.25,0.27863830138939116,Aedes aegypti,74648
REP_00339,N#Cc1cccc2ccccc12,YJMNOKOLADGBKA-UHFFFAOYSA-N,C11H7N,153.0578,0.41509433962264153,0.5423492856564245,Aedes aegypti,6846
REP_00340,O=C/C=C/c1ccccc1,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C9H8O,132.0575,0.22807017543859648,0.39702570408434,Aedes aegypti,637511
REP_00341,O=C1CCCCC1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,C6H10O,98.0732,0.42857142857142855,0.09850369760944745,Aedes aegypti,7967
REP_00342,O=C1CCCCCCC1,IIRFCWANHMSDCG-UHFFFAOYSA-N,C8H14O,126.1045,0.625,0.09313670851484626,Aedes aegypti,10403
REP_00343,O=C1CCCCCCCCCCC1,SXVPOSFURRDKBO-UHFFFAOYSA-N,C12H22O,182.1671,0.99999999,0.11035043784082597,Aedes aegypti,13246
