compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_00143,CCCOc1ccc(CCC(=O)O)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00142,O=C(CN1C(=O)CCC1=O)NCCc1ccsc1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00141,COc1cc(Nc2nc(CN3C(=O)CCC3=O)cs2)ccc1F,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00140,COc1ccc(Nc2nc(CN3C(=O)CCC3=O)cs2)cc1F,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00139,CCCN1C(=O)CC(N2CCN(c3ccccc3)CC2)C1=O,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00138,O=C(NCc1ccc(Cl)cc1)N1CC(N2C(=O)CCC2=O)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00137,O=C(CN1C(=O)CCC1=O)N1CCC(Oc2ncccc2Br)CC1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00136,CC(C)c1nccn1CC1CCN(C(=O)CN2C(=O)CCC2=O)CC1,1.0,0.8,0.4339622641509434,1.0,0.15483870967741942,1.0,Toxic Repellent
LIC_00135,O=C1CCC(=O)N1C1CN(C(=O)C23CC4CC(CC(C4)C2)C3)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00134,Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOCC3)cc21,1.0,0.5,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
