compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00005,16,C,0.06417476488671729,-3.136560403241144,3.0502194906887534,1.117547116353562,1.2860980779085716
REP_00005,17,C,1.0274517415885134,-4.097728759621187,2.7454078013060808,1.1151051635893132,1.281267113807191
REP_00005,18,C,2.062947589394881,-3.8067754898100845,1.8637617679128218,1.1154880994631842,1.2642736874236449
REP_00005,19,C,2.1248375717199095,-2.530581448065169,1.2790271054749076,1.4051510017340973,2.999278028070266
REP_00005,20,O,3.272751707717129,-2.305036954481729,0.49185544340381016,1.4122205122178912,1.9998398645068372
REP_00005,21,C,3.0938560504556403,-1.3930302616552948,-0.5743917598837032,1.4072980949068126,2.9988122183743533
REP_00005,22,C,1.9553461690162879,-1.3558861421706194,-1.3940218712607004,1.109200712004967,1.2369218688618955
REP_00005,23,C,1.9595438986575668,-0.5170417525488891,-2.505037416629733,1.1142416185072777,1.2683449916862102
REP_00005,24,C,3.071611497813196,0.27747784170827344,-2.798868663118575,1.1140861842377636,1.2539565251282383
REP_00005,25,C,4.203937132819515,0.22118697923197084,-1.978094396218073,1.115800637177167,1.275165374604237
REP_00005,26,C,4.226993749134165,-0.6173102644912493,-0.8687475490695182,1.1158231063187856,1.2669782206372016
REP_00005,27,C,1.1828854160626467,-1.542860341827669,1.592751008229757,1.1103989221218304,1.255607988100207
REP_00005,28,H,-2.630328623391945,-0.4248263579900114,-1.406618068541403,1.0955040008256476,1.0000001509411822
REP_00005,29,H,-0.9939974541786643,-0.41781660891374833,-2.1251748540331423,1.0951257325721833,1.0000001644433525
REP_00005,30,H,-2.3535580352009013,0.3411892265316024,-3.0018420676036146,1.0962717194817064,1.000000164659483
REP_00005,31,H,-0.3748896363337626,3.2602267327191288,-1.5691244153356934,1.0936858011594663,1.000000170485679
REP_00005,32,H,-1.04148913624211,2.603887614606181,-3.0902383914170364,1.0948616511845044,1.000000167052412
REP_00005,33,H,0.30221994228573046,1.7646054608752846,-2.2636135795929064,1.0968752085466746,1.0000002272247774
REP_00005,34,H,-3.6655593275909455,1.5440093433867308,-0.5024006741685555,1.090732982761096,1.0
REP_00005,35,H,-2.079807733198877,4.245648437785506,-0.4748390001007086,1.0867609371215377,1.0
REP_00005,36,H,-0.8230103297825956,2.2710990479277875,0.6034880399398944,1.0858932480159247,1.0
REP_00005,37,H,-1.9001694350593492,-1.2578223788193503,2.8151494342671914,1.1024784320729184,1.0
REP_00005,38,H,-0.7469412625101246,-3.3633631368670933,3.7386717535667535,1.0878029270700078,1.0
REP_00005,39,H,0.9663590358234518,-5.084696587847141,3.1939817058279196,1.0858436169489232,1.0
REP_00005,40,H,2.825711632207574,-4.540880157153068,1.6139261554777622,1.0877207733897136,1.0
REP_00005,41,H,1.103150625010898,-1.9837472637487183,-1.1602617964267468,1.0840159619665783,1.0
REP_00005,42,H,1.091380385770556,-0.4988161072387157,-3.1574444664434553,1.0861284536839702,1.0
REP_00005,43,H,3.0600692313128057,0.9295063624612531,-3.6688263995725845,1.0872446270308578,1.0
REP_00005,44,H,5.073977976092428,0.8321972510654684,-2.204786650777822,1.0870574959616757,1.0
REP_00005,45,H,5.098728698676391,-0.6882426038268332,-0.22193115123131857,1.0878072768323395,1.0
REP_00005,46,H,1.2612389872368452,-0.5518332974282677,1.1617785819476376,1.0835179357363032,1.0
