compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
DEC_00294,COC(=O)c1cccc(N)c1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,16.335077034426376,-10.111754963947874,-7.262869753569467,2.8488852103784073,-32.76788011296352,0.9317110286244555,9.228728892196614e-17,0.16281105350570307,0.3476704073984851,-0.41664277569316943,False
DEC_00295,CNS(=O)(=O)c1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,-39.00845221431143,-10.74862955174234,-7.167110928994031,3.581518622748309,-33.843429931289116,2.0144986400146454,-5.363764987720287e-16,0.31762832856736506,1.0853791652128675,-0.5671368724842796,False
DEC_00300,C=CC1CC(C(=O)OC)C(=O)O1,non_repellent,0.0,CC1CCCC1,GFN2-xTB,converged,0.0,1.0,-34.466931972301296,-11.52321604969033,-7.235838218901019,4.2873778307893105,-38.48079319296709,2.254894936229005,1.6590264515705465e-16,0.18349993455025304,0.35972166826775664,-0.3920421617943407,False
DEC_00301,CCOC(=O)CC1(C)OCCO1,non_repellent,0.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,-4.4335475043880415,-11.124551239256213,-6.571903691831759,4.5526475474244545,-40.55350548169479,1.2533215066775625,-4.518287453582668e-16,0.17119300065041976,0.3533763037984473,-0.4054161282493179,False
DEC_00305,CCCC(=O)OC1CCCCC1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,-8.854550108743762,-11.081829407652796,-6.304197732343338,4.777631675309458,-38.76877191157212,0.8964873691439361,-2.2042552968078628e-16,0.12371997781034945,0.3540297547471193,-0.4088740286241658,False
DEC_00306,CCC(=O)Oc1cccc(C)c1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,25.58787279422581,-10.807030740657503,-6.695847320302272,4.11118342035523,-35.668754916430544,0.6604930592523445,-1.7115938296304497e-16,0.13586567108473419,0.3522281826517901,-0.3870131054470533,False
DEC_00307,CCC(=O)Oc1ccccc1C,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,26.530531045188894,-10.835808675369863,-6.626511907075947,4.209296768293917,-35.667626673639845,0.8250922447885695,-8.581098794498606e-16,0.13498485397572033,0.3529916329132291,-0.38962941883359015,False
DEC_00310,CCOC(=O)c1ccccc1C,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,33.274523377171924,-10.880213061838148,-7.216861413542135,3.663351648296013,-35.66617240512006,0.7621911499838783,-1.5959455978986625e-16,0.1346383792140358,0.3490562353534855,-0.414788414495449,False
DEC_00311,COC(=O)[C@H](C)c1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,32.88934203382204,-10.806715907923474,-6.650912613134979,4.155803294788495,-35.65980280630596,0.7537932217460405,-2.9259002628142145e-16,0.12919283331595874,0.3508802338428749,-0.4000091136664462,False
DEC_00312,C#CC1(OC(C)=O)CCCCC1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,-3.0877082445881383,-11.085063284619688,-6.395133161354978,4.68993012326471,-36.647187567896815,0.7506307502231419,-4.312789441813108e-16,0.13778649710422713,0.360822843723659,-0.416191811638603,False
